1736032962.622440 server started (91794): version 3.5a, socket /tmp/tmux-1000/default, protocol 8
1736032962.622480 on Linux 6.6.68 #1-NixOS SMP PREEMPT_DYNAMIC Fri Dec 27 12:58:58 UTC 2024
1736032962.622491 using libevent 2.1.12-stable poll
1736032962.622504 using utf8proc 2.9.0
1736032962.622508 using ncurses 6.4 20221231
1736032962.622924 input_key_build: 0x40000010e19d (S-F9) is \033[20;2~
1736032962.622928 input_key_build: 0x40000010e19e (S-F10) is \033[21;2~
1736032962.622931 input_key_build: 0x40000010e19f (S-F11) is \033[23;2~
1736032962.622935 input_key_build: 0x40000010e1a0 (S-F12) is \033[24;2~
1736032962.622938 input_key_build: 0x40000010e1a1 (S-IC) is \033[2;2~
1736032962.622942 input_key_build: 0x40000010e1a2 (S-DC) is \033[3;2~
1736032962.622945 input_key_build: 0x40000010e1a3 (S-Home) is \033[1;2H
1736032962.622949 input_key_build: 0x40000010e1a4 (S-End) is \033[1;2F
1736032962.622952 input_key_build: 0x40000010e1a5 (S-NPage) is \033[6;2~
1736032962.622956 input_key_build: 0x40000010e1a6 (S-PPage) is \033[5;2~
1736032962.622959 input_key_build: 0x40000010e1a8 (S-Up) is \033[1;2A
1736032962.622963 input_key_build: 0x40000010e1a9 (S-Down) is \033[1;2B
1736032962.622967 input_key_build: 0x40000010e1aa (S-Left) is \033[1;2D
1736032962.622970 input_key_build: 0x40000010e1ab (S-Right) is \033[1;2C
1736032962.622974 input_key_build: 0x60000010e195 (C-S-F1) is \033[1;6P
1736032962.622977 input_key_build: 0x60000010e196 (C-S-F2) is \033[1;6Q
1736032962.622980 input_key_build: 0x60000010e197 (C-S-F3) is \033[1;6R
1736032962.622984 input_key_build: 0x60000010e198 (C-S-F4) is \033[1;6S
1736032962.622987 input_key_build: 0x60000010e199 (C-S-F5) is \033[15;6~
1736032962.622991 input_key_build: 0x60000010e19a (C-S-F6) is \033[17;6~
1736032962.622994 input_key_build: 0x60000010e19b (C-S-F7) is \033[18;6~
1736032962.622998 input_key_build: 0x60000010e19c (C-S-F8) is \033[19;6~
1736032962.623001 input_key_build: 0x60000010e19d (C-S-F9) is \033[20;6~
1736032962.623005 input_key_build: 0x60000010e19e (C-S-F10) is \033[21;6~
1736032962.623008 input_key_build: 0x60000010e19f (C-S-F11) is \033[23;6~
1736032962.623012 input_key_build: 0x60000010e1a0 (C-S-F12) is \033[24;6~
1736032962.623015 input_key_build: 0x60000010e1a1 (C-S-IC) is \033[2;6~
1736032962.623019 input_key_build: 0x60000010e1a2 (C-S-DC) is \033[3;6~
1736032962.623022 input_key_build: 0x60000010e1a3 (C-S-Home) is \033[1;6H
1736032962.623026 input_key_build: 0x60000010e1a4 (C-S-End) is \033[1;6F
1736032962.623030 input_key_build: 0x60000010e1a5 (C-S-NPage) is \033[6;6~
1736032962.623033 input_key_build: 0x60000010e1a6 (C-S-PPage) is \033[5;6~
1736032962.623037 input_key_build: 0x60000010e1a8 (C-S-Up) is \033[1;6A
1736032962.623040 input_key_build: 0x60000010e1a9 (C-S-Down) is \033[1;6B
1736032962.623044 input_key_build: 0x60000010e1aa (C-S-Left) is \033[1;6D
1736032962.623048 input_key_build: 0x60000010e1ab (C-S-Right) is \033[1;6C
1736032962.623052 input_key_build: 0x200000010e1ac (KP/[K]) is \033Oo
1736032962.623057 input_key_build: 0x200000010e1ad (KP*[K]) is \033Oj
1736032962.623060 input_key_build: 0x200000010e1ae (KP-[K]) is \033Om
1736032962.623064 input_key_build: 0x200000010e1af (KP7[K]) is \033Ow
1736032962.623068 input_key_build: 0x200000010e1b0 (KP8[K]) is \033Ox
1736032962.623072 input_key_build: 0x200000010e1b1 (KP9[K]) is \033Oy
1736032962.623075 input_key_build: 0x200000010e1b2 (KP+[K]) is \033Ok
1736032962.623079 input_key_build: 0x200000010e1b3 (KP4[K]) is \033Ot
1736032962.623083 input_key_build: 0x200000010e1b4 (KP5[K]) is \033Ou
1736032962.623086 input_key_build: 0x200000010e1b5 (KP6[K]) is \033Ov
1736032962.623094 input_key_build: 0x200000010e1b6 (KP1[K]) is \033Oq
1736032962.623098 input_key_build: 0x200000010e1b7 (KP2[K]) is \033Or
1736032962.623101 input_key_build: 0x200000010e1b8 (KP3[K]) is \033Os
1736032962.623105 input_key_build: 0x200000010e1b9 (KPEnter[K]) is \033OM
1736032962.623109 input_key_build: 0x200000010e1ba (KP0[K]) is \033Op
1736032962.623112 input_key_build: 0x200000010e1bb (KP.[K]) is \033On
1736032962.623116 input_key_build: 0x400000010e1a8 (Up[C]) is \033OA
1736032962.623120 input_key_build: 0x400000010e1a9 (Down[C]) is \033OB
1736032962.623124 input_key_build: 0x400000010e1aa (Left[C]) is \033OD
1736032962.623127 input_key_build: 0x400000010e1ab (Right[C]) is \033OC
1736032962.623131 input_key_build: 0x810000010e195 (M-F1[I]) is \033[1;3P
1736032962.623135 input_key_build: 0x810000010e196 (M-F2[I]) is \033[1;3Q
1736032962.623139 input_key_build: 0x810000010e197 (M-F3[I]) is \033[1;3R
1736032962.623142 input_key_build: 0x810000010e198 (M-F4[I]) is \033[1;3S
1736032962.623146 input_key_build: 0x810000010e199 (M-F5[I]) is \033[15;3~
1736032962.623150 input_key_build: 0x810000010e19a (M-F6[I]) is \033[17;3~
1736032962.623154 input_key_build: 0x810000010e19b (M-F7[I]) is \033[18;3~
1736032962.623157 input_key_build: 0x810000010e19c (M-F8[I]) is \033[19;3~
1736032962.623161 input_key_build: 0x810000010e19d (M-F9[I]) is \033[20;3~
1736032962.623165 input_key_build: 0x810000010e19e (M-F10[I]) is \033[21;3~
1736032962.623169 input_key_build: 0x810000010e19f (M-F11[I]) is \033[23;3~
1736032962.623172 input_key_build: 0x810000010e1a0 (M-F12[I]) is \033[24;3~
1736032962.623176 input_key_build: 0x810000010e1a1 (M-IC[I]) is \033[2;3~
1736032962.623180 input_key_build: 0x810000010e1a2 (M-DC[I]) is \033[3;3~
1736032962.623184 input_key_build: 0x810000010e1a3 (M-Home[I]) is \033[1;3H
1736032962.623188 input_key_build: 0x810000010e1a4 (M-End[I]) is \033[1;3F
1736032962.623191 input_key_build: 0x810000010e1a5 (M-NPage[I]) is \033[6;3~
1736032962.623195 input_key_build: 0x810000010e1a6 (M-PPage[I]) is \033[5;3~
1736032962.623199 input_key_build: 0x810000010e1a8 (M-Up[I]) is \033[1;3A
1736032962.623203 input_key_build: 0x810000010e1a9 (M-Down[I]) is \033[1;3B
1736032962.623207 input_key_build: 0x810000010e1aa (M-Left[I]) is \033[1;3D
1736032962.623214 input_key_build: 0x810000010e1ab (M-Right[I]) is \033[1;3C
1736032962.623218 input_key_build: 0x830000010e195 (C-M-F1[I]) is \033[1;7P
1736032962.623222 input_key_build: 0x830000010e196 (C-M-F2[I]) is \033[1;7Q
1736032962.623226 input_key_build: 0x830000010e197 (C-M-F3[I]) is \033[1;7R
1736032962.623230 input_key_build: 0x830000010e198 (C-M-F4[I]) is \033[1;7S
1736032962.623233 input_key_build: 0x830000010e199 (C-M-F5[I]) is \033[15;7~
1736032962.623237 input_key_build: 0x830000010e19a (C-M-F6[I]) is \033[17;7~
1736032962.623241 input_key_build: 0x830000010e19b (C-M-F7[I]) is \033[18;7~
1736032962.623245 input_key_build: 0x830000010e19c (C-M-F8[I]) is \033[19;7~
1736032962.623249 input_key_build: 0x830000010e19d (C-M-F9[I]) is \033[20;7~
1736032962.623253 input_key_build: 0x830000010e19e (C-M-F10[I]) is \033[21;7~
1736032962.623256 input_key_build: 0x830000010e19f (C-M-F11[I]) is \033[23;7~
1736032962.623260 input_key_build: 0x830000010e1a0 (C-M-F12[I]) is \033[24;7~
1736032962.623264 input_key_build: 0x830000010e1a1 (C-M-IC[I]) is \033[2;7~
1736032962.623268 input_key_build: 0x830000010e1a2 (C-M-DC[I]) is \033[3;7~
1736032962.623271 input_key_build: 0x830000010e1a3 (C-M-Home[I]) is \033[1;7H
1736032962.623275 input_key_build: 0x830000010e1a4 (C-M-End[I]) is \033[1;7F
1736032962.623279 input_key_build: 0x830000010e1a5 (C-M-NPage[I]) is \033[6;7~
1736032962.623283 input_key_build: 0x830000010e1a6 (C-M-PPage[I]) is \033[5;7~
1736032962.623287 input_key_build: 0x830000010e1a8 (C-M-Up[I]) is \033[1;7A
1736032962.623291 input_key_build: 0x830000010e1a9 (C-M-Down[I]) is \033[1;7B
1736032962.623295 input_key_build: 0x830000010e1aa (C-M-Left[I]) is \033[1;7D
1736032962.623299 input_key_build: 0x830000010e1ab (C-M-Right[I]) is \033[1;7C
1736032962.623303 input_key_build: 0x850000010e195 (M-S-F1[I]) is \033[1;4P
1736032962.623310 input_key_build: 0x850000010e196 (M-S-F2[I]) is \033[1;4Q
1736032962.623314 input_key_build: 0x850000010e197 (M-S-F3[I]) is \033[1;4R
1736032962.623318 input_key_build: 0x850000010e198 (M-S-F4[I]) is \033[1;4S
1736032962.623322 input_key_build: 0x850000010e199 (M-S-F5[I]) is \033[15;4~
1736032962.623326 input_key_build: 0x850000010e19a (M-S-F6[I]) is \033[17;4~
1736032962.623329 input_key_build: 0x850000010e19b (M-S-F7[I]) is \033[18;4~
1736032962.623333 input_key_build: 0x850000010e19c (M-S-F8[I]) is \033[19;4~
1736032962.623337 input_key_build: 0x850000010e19d (M-S-F9[I]) is \033[20;4~
1736032962.623341 input_key_build: 0x850000010e19e (M-S-F10[I]) is \033[21;4~
1736032962.623344 input_key_build: 0x850000010e19f (M-S-F11[I]) is \033[23;4~
1736032962.623348 input_key_build: 0x850000010e1a0 (M-S-F12[I]) is \033[24;4~
1736032962.623352 input_key_build: 0x850000010e1a1 (M-S-IC[I]) is \033[2;4~
1736032962.623355 input_key_build: 0x850000010e1a2 (M-S-DC[I]) is \033[3;4~
1736032962.623360 input_key_build: 0x850000010e1a3 (M-S-Home[I]) is \033[1;4H
1736032962.623364 input_key_build: 0x850000010e1a4 (M-S-End[I]) is \033[1;4F
1736032962.623367 input_key_build: 0x850000010e1a5 (M-S-NPage[I]) is \033[6;4~
1736032962.623371 input_key_build: 0x850000010e1a6 (M-S-PPage[I]) is \033[5;4~
1736032962.623375 input_key_build: 0x850000010e1a8 (M-S-Up[I]) is \033[1;4A
1736032962.623379 input_key_build: 0x850000010e1a9 (M-S-Down[I]) is \033[1;4B
1736032962.623383 input_key_build: 0x850000010e1aa (M-S-Left[I]) is \033[1;4D
1736032962.623387 input_key_build: 0x850000010e1ab (M-S-Right[I]) is \033[1;4C
1736032962.623391 input_key_build: 0x870000010e195 (C-M-S-F1[I]) is \033[1;8P
1736032962.623395 input_key_build: 0x870000010e196 (C-M-S-F2[I]) is \033[1;8Q
1736032962.623398 input_key_build: 0x870000010e197 (C-M-S-F3[I]) is \033[1;8R
1736032962.623402 input_key_build: 0x870000010e198 (C-M-S-F4[I]) is \033[1;8S
1736032962.623406 input_key_build: 0x870000010e199 (C-M-S-F5[I]) is \033[15;8~
1736032962.623410 input_key_build: 0x870000010e19a (C-M-S-F6[I]) is \033[17;8~
1736032962.623414 input_key_build: 0x870000010e19b (C-M-S-F7[I]) is \033[18;8~
1736032962.623417 input_key_build: 0x870000010e19c (C-M-S-F8[I]) is \033[19;8~
1736032962.623421 input_key_build: 0x870000010e19d (C-M-S-F9[I]) is \033[20;8~
1736032962.623425 input_key_build: 0x870000010e19e (C-M-S-F10[I]) is \033[21;8~
1736032962.623429 input_key_build: 0x870000010e19f (C-M-S-F11[I]) is \033[23;8~
1736032962.623434 input_key_build: 0x870000010e1a0 (C-M-S-F12[I]) is \033[24;8~
1736032962.623438 input_key_build: 0x870000010e1a1 (C-M-S-IC[I]) is \033[2;8~
1736032962.623442 input_key_build: 0x870000010e1a2 (C-M-S-DC[I]) is \033[3;8~
1736032962.623446 input_key_build: 0x870000010e1a3 (C-M-S-Home[I]) is \033[1;8H
1736032962.623450 input_key_build: 0x870000010e1a4 (C-M-S-End[I]) is \033[1;8F
1736032962.623454 input_key_build: 0x870000010e1a5 (C-M-S-NPage[I]) is \033[6;8~
1736032962.623458 input_key_build: 0x870000010e1a6 (C-M-S-PPage[I]) is \033[5;8~
1736032962.623462 input_key_build: 0x870000010e1a8 (C-M-S-Up[I]) is \033[1;8A
1736032962.623466 input_key_build: 0x870000010e1a9 (C-M-S-Down[I]) is \033[1;8B
1736032962.623469 input_key_build: 0x870000010e1aa (C-M-S-Left[I]) is \033[1;8D
1736032962.623473 input_key_build: 0x870000010e1ab (C-M-S-Right[I]) is \033[1;8C
1736032962.623493 yylex_token: end at WS
1736032962.623496 yylex_token: bind
1736032962.623500 yylex_token: end at WS
1736032962.623503 yylex_token: -N
1736032962.623507 yylex_token: end at WS
1736032962.623511 yylex_token: Send the prefix key
1736032962.623514 yylex_token: end at WS
1736032962.623517 yylex_token: C-b
1736032962.623521 yylex_token: end at WS
1736032962.623524 yylex_token: send-prefix
1736032962.623531 cmd_parse_build_commands 0:0: bind
1736032962.623535 cmd_parse_build_commands 0:1: -N
1736032962.623539 cmd_parse_build_commands 0:2: Send the prefix key
1736032962.623542 cmd_parse_build_commands 0:3: C-b
1736032962.623546 cmd_parse_build_commands 0:4 0:0: send-prefix
1736032962.623567 cmd_parse_build_commands 0:0: send-prefix
1736032962.623580 args_parse: flags end at 1 of 1
1736032962.623585 cmd_parse_build_commands: send-prefix
1736032962.623589 args_parse_flags: next -N
1736032962.623594 args_parse_flag_argument: -N = Send the prefix key
1736032962.623597 args_parse_flags: next C-b
1736032962.623601 args_parse: flags end at 3 of 5
1736032962.623604 args_parse: 3 = C-b (type STRING)
1736032962.623609 args_parse: 4 = send-prefix (type COMMANDS)
1736032962.623631 cmd_parse_build_commands: bind-key -N "Send the prefix key" C-b { send-prefix }
1736032962.623652 cmdq_get_command: [bind-key/0x2c19d7a0] group 2
1736032962.623666 cmdq_append <global>: [bind-key/0x2c19d7a0]
1736032962.623670 yylex_token: end at WS
1736032962.623672 yylex_token: bind
1736032962.623675 yylex_token: end at WS
1736032962.623677 yylex_token: -N
1736032962.623682 yylex_token: end at WS
1736032962.623685 yylex_token: Rotate through the panes
1736032962.623687 yylex_token: end at WS
1736032962.623690 yylex_token: C-o
1736032962.623694 yylex_token: end at WS
1736032962.623696 yylex_token: rotate-window
1736032962.623701 cmd_parse_build_commands 0:0: bind
1736032962.623704 cmd_parse_build_commands 0:1: -N
1736032962.623708 cmd_parse_build_commands 0:2: Rotate through the panes
1736032962.623711 cmd_parse_build_commands 0:3: C-o
1736032962.623715 cmd_parse_build_commands 0:4 0:0: rotate-window
1736032962.623720 cmd_parse_build_commands 0:0: rotate-window
1736032962.623727 args_parse: flags end at 1 of 1
1736032962.623731 cmd_parse_build_commands: rotate-window
1736032962.623734 args_parse_flags: next -N
1736032962.623738 args_parse_flag_argument: -N = Rotate through the panes
1736032962.623741 args_parse_flags: next C-o
1736032962.623744 args_parse: flags end at 3 of 5
1736032962.623747 args_parse: 3 = C-o (type STRING)
1736032962.623752 args_parse: 4 = rotate-window (type COMMANDS)
1736032962.623764 cmd_parse_build_commands: bind-key -N "Rotate through the panes" C-o { rotate-window }
1736032962.623788 cmdq_get_command: [bind-key/0x2c19ef60] group 10
1736032962.623791 cmdq_append <global>: [bind-key/0x2c19ef60]
1736032962.623795 yylex_token: end at WS
1736032962.623797 yylex_token: bind
1736032962.623800 yylex_token: end at WS
1736032962.623802 yylex_token: -N
1736032962.623807 yylex_token: end at WS
1736032962.623810 yylex_token: Suspend the current client
1736032962.623812 yylex_token: end at WS
1736032962.623815 yylex_token: C-z
1736032962.623819 yylex_token: end at WS
1736032962.623821 yylex_token: suspend-client
1736032962.623825 cmd_parse_build_commands 0:0: bind
1736032962.623828 cmd_parse_build_commands 0:1: -N
1736032962.623832 cmd_parse_build_commands 0:2: Suspend the current client
1736032962.623835 cmd_parse_build_commands 0:3: C-z
1736032962.623839 cmd_parse_build_commands 0:4 0:0: suspend-client
1736032962.623844 cmd_parse_build_commands 0:0: suspend-client
1736032962.623852 args_parse: flags end at 1 of 1
1736032962.623856 cmd_parse_build_commands: suspend-client
1736032962.623859 args_parse_flags: next -N
1736032962.623863 args_parse_flag_argument: -N = Suspend the current client
1736032962.623866 args_parse_flags: next C-z
1736032962.623869 args_parse: flags end at 3 of 5
1736032962.623873 args_parse: 3 = C-z (type STRING)
1736032962.623877 args_parse: 4 = suspend-client (type COMMANDS)
1736032962.623886 cmd_parse_build_commands: bind-key -N "Suspend the current client" C-z { suspend-client }
1736032962.623892 cmdq_get_command: [bind-key/0x2c19f790] group 18
1736032962.623896 cmdq_append <global>: [bind-key/0x2c19f790]
1736032962.623899 yylex_token: end at WS
1736032962.623901 yylex_token: bind
1736032962.623904 yylex_token: end at WS
1736032962.623906 yylex_token: -N
1736032962.623910 yylex_token: end at WS
1736032962.623912 yylex_token: Select next layout
1736032962.623916 yylex_token: end at WS
1736032962.623918 yylex_token: Space
1736032962.623921 yylex_token: end at WS
1736032962.623924 yylex_token: next-layout
1736032962.623928 cmd_parse_build_commands 0:0: bind
1736032962.623931 cmd_parse_build_commands 0:1: -N
1736032962.623939 cmd_parse_build_commands 0:2: Select next layout
1736032962.623942 cmd_parse_build_commands 0:3: Space
1736032962.623946 cmd_parse_build_commands 0:4 0:0: next-layout
1736032962.623950 cmd_parse_build_commands 0:0: next-layout
1736032962.623956 args_parse: flags end at 1 of 1
1736032962.623960 cmd_parse_build_commands: next-layout
1736032962.623963 args_parse_flags: next -N
1736032962.623967 args_parse_flag_argument: -N = Select next layout
1736032962.623970 args_parse_flags: next Space
1736032962.623972 args_parse: flags end at 3 of 5
1736032962.623975 args_parse: 3 = Space (type STRING)
1736032962.623979 args_parse: 4 = next-layout (type COMMANDS)
1736032962.623989 cmd_parse_build_commands: bind-key -N "Select next layout" Space { next-layout }
1736032962.623994 cmdq_get_command: [bind-key/0x2c19fdf0] group 26
1736032962.623998 cmdq_append <global>: [bind-key/0x2c19fdf0]
1736032962.624001 yylex_token: end at WS
1736032962.624003 yylex_token: bind
1736032962.624005 yylex_token: end at WS
1736032962.624008 yylex_token: -N
1736032962.624012 yylex_token: end at WS
1736032962.624015 yylex_token: Break pane to a new window
1736032962.624017 yylex_token: end at WS
1736032962.624020 yylex_token: !
1736032962.624023 yylex_token: end at WS
1736032962.624026 yylex_token: break-pane
1736032962.624030 cmd_parse_build_commands 0:0: bind
1736032962.624033 cmd_parse_build_commands 0:1: -N
1736032962.624040 cmd_parse_build_commands 0:2: Break pane to a new window
1736032962.624043 cmd_parse_build_commands 0:3: !
1736032962.624046 cmd_parse_build_commands 0:4 0:0: break-pane
1736032962.624051 cmd_parse_build_commands 0:0: break-pane
1736032962.624055 args_parse: flags end at 1 of 1
1736032962.624059 cmd_parse_build_commands: break-pane
1736032962.624061 args_parse_flags: next -N
1736032962.624065 args_parse_flag_argument: -N = Break pane to a new window
1736032962.624068 args_parse_flags: next !
1736032962.624071 args_parse: flags end at 3 of 5
1736032962.624074 args_parse: 3 = ! (type STRING)
1736032962.624078 args_parse: 4 = break-pane (type COMMANDS)
1736032962.624086 cmd_parse_build_commands: bind-key -N "Break pane to a new window" ! { break-pane }
1736032962.624092 cmdq_get_command: [bind-key/0x2c1a0350] group 34
1736032962.624095 cmdq_append <global>: [bind-key/0x2c1a0350]
1736032962.624098 yylex_token: end at WS
1736032962.624101 yylex_token: bind
1736032962.624103 yylex_token: end at WS
1736032962.624106 yylex_token: -N
1736032962.624109 yylex_token: end at WS
1736032962.624112 yylex_token: Split window vertically
1736032962.624115 yylex_token: end at WS
1736032962.624118 yylex_token: "
1736032962.624121 yylex_token: end at WS
1736032962.624124 yylex_token: split-window
1736032962.624128 cmd_parse_build_commands 0:0: bind
1736032962.624131 cmd_parse_build_commands 0:1: -N
1736032962.624134 cmd_parse_build_commands 0:2: Split window vertically
1736032962.624137 cmd_parse_build_commands 0:3: "
1736032962.624141 cmd_parse_build_commands 0:4 0:0: split-window
1736032962.624145 cmd_parse_build_commands 0:0: split-window
1736032962.624153 args_parse: flags end at 1 of 1
1736032962.624157 cmd_parse_build_commands: split-window
1736032962.624160 args_parse_flags: next -N
1736032962.624163 args_parse_flag_argument: -N = Split window vertically
1736032962.624166 args_parse_flags: next "
1736032962.624169 args_parse: flags end at 3 of 5
1736032962.624172 args_parse: 3 = " (type STRING)
1736032962.624176 args_parse: 4 = split-window (type COMMANDS)
1736032962.624185 cmd_parse_build_commands: bind-key -N "Split window vertically" \\" { split-window }
1736032962.624190 cmdq_get_command: [bind-key/0x2c1a08b0] group 42
1736032962.624194 cmdq_append <global>: [bind-key/0x2c1a08b0]
1736032962.624197 yylex_token: end at WS
1736032962.624199 yylex_token: bind
1736032962.624201 yylex_token: end at WS
1736032962.624204 yylex_token: -N
1736032962.624208 yylex_token: end at WS
1736032962.624210 yylex_token: List all paste buffers
1736032962.624213 yylex_token: end at WS
1736032962.624216 yylex_token: #
1736032962.624219 yylex_token: end at WS
1736032962.624229 yylex_token: list-buffers
1736032962.624233 cmd_parse_build_commands 0:0: bind
1736032962.624235 cmd_parse_build_commands 0:1: -N
1736032962.624239 cmd_parse_build_commands 0:2: List all paste buffers
1736032962.624242 cmd_parse_build_commands 0:3: #
1736032962.624246 cmd_parse_build_commands 0:4 0:0: list-buffers
1736032962.624250 cmd_parse_build_commands 0:0: list-buffers
1736032962.624255 args_parse: flags end at 1 of 1
1736032962.624259 cmd_parse_build_commands: list-buffers
1736032962.624262 args_parse_flags: next -N
1736032962.624265 args_parse_flag_argument: -N = List all paste buffers
1736032962.624268 args_parse_flags: next #
1736032962.624270 args_parse: flags end at 3 of 5
1736032962.624273 args_parse: 3 = # (type STRING)
1736032962.624277 args_parse: 4 = list-buffers (type COMMANDS)
1736032962.624285 cmd_parse_build_commands: bind-key -N "List all paste buffers" \\# { list-buffers }
1736032962.624291 cmdq_get_command: [bind-key/0x2c1a0d70] group 50
1736032962.624294 cmdq_append <global>: [bind-key/0x2c1a0d70]
1736032962.624297 yylex_token: end at WS
1736032962.624299 yylex_token: bind
1736032962.624302 yylex_token: end at WS
1736032962.624304 yylex_token: -N
1736032962.624308 yylex_token: end at WS
1736032962.624311 yylex_token: Rename current session
1736032962.624314 yylex_token: end at WS
1736032962.624316 yylex_token: $
1736032962.624319 yylex_token: end at WS
1736032962.624322 yylex_token: command-prompt
1736032962.624325 yylex_token: end at WS
1736032962.624327 yylex_token: -I#S
1736032962.624331 yylex_token: end at WS
1736032962.624334 yylex_token: rename-session
1736032962.624336 yylex_token: end at WS
1736032962.624339 yylex_token: --
